Sold Direct 5-Year Model — CA-REVIEWED (prime-led taper · in-house origination Y2 · LPC-compliant · 27% tax),,,,,,
All figures ZAR; revenue lines in ZAR millions; see 00-assumptions.md and 01-financial-model.md,,,,,,
Strategy: serve the private-sale segment (complementary to full-service agents); land at prime and taper R6.5m->R4.0m; in-house origination from Y2; employed registered practitioners (PPRA/FFC) assist.,,,,,,
Monetisation: free 0% requires a qualifying >=80% bond (Y1 via BetterBond ~0.5%; Y2+ in-house ~1.5%). Otherwise 1% fee. Bank sponsorship + conveyancer panel advertising (fixed subscriptions — NO referral fees per LPC; seller appoints panel conveyancer with 30-40% fee discount passed on).,,,,,,
,,,,,,
REVENUE DRIVERS (BASE),Y1,Y2,Y3,Y4,Y5,
Board seat (reserved — non-executive strategic),5.0%,4.2%,,,,
Strategic Funder / Seed Investor (R10m),25.0%,20.8%,,,,
Series A Investor (R50m),,16.7%,,,,
Total,100%,100%,,,,
,,,,,,
VALUE AT BASE EXIT (~R811m EV = 5x Y5 revenue),Invested (ZAR m),Value @ Exit (ZAR m),Multiple,,,
Each working founder (x2; sweat),0,203,n/a,,,
Paysoft (dev delivery; vesting),0,68,n/a,,,
Board seat (reserved),0,34,n/a,,,
Strategic Funder / Seed,10,169,~16.9x,,,
Series A investor,50,135,~2.7x,,,
,,,,,,
VALUATION (Base),Low,High,,,,
Y5 revenue multiple,4x,6x,,,,
Y5 enterprise value (ZAR m),649,974,,,,
Seed pre-money (ZAR m),30,30,,,,
,,,,,,
CONSUMER VALUE — KEPT VS FULL-SERVICE BENCHMARK (ZAR; 6% + VAT; sellers who choose the self-service path),Y1,Y3,Y5,,,
Saving per sale (vs 6% + VAT),~410k,~315k,~253k,,,
Annual consumer saving (ZAR m),20.5,205,733,,,
Cumulative saving (ZAR m),20.5,305,1460,,,
,,,,,,
KEY ASSUMPTIONS TO FLEX,,,,,,
Conveyancer panel advertising,R0.36-2.4m/yr,fixed subscriptions; LPC-safe (no referral fees); confirm appetite with a panel firm,,,,
In-house origination rate (Y2+),~1.5% of bond,direct with banks; confirm vs a bank term sheet,,,,
Corporate tax,27%,applied to positive EBITDA only (no loss carry-forward modelled — conservative),,,,
Headcount ramp,8 -> 96 (50% AI),CA review: delivery-realistic capacity; sanity ratios on P&L tab,,,,
Avg price taper,R6.5m -> R4.0m,cuts implied Y5 share ~21% -> ~8.3% of upper-market,,,,
Marketing (above-the-line),R2.5-50m,drives the deal ramp; validate ATL conversion with a pilot,,,,
Base exit multiple,5x revenue,editable (Assumptions C75); drives Cap Table exit values,,,,
,,,,,,
ANCILLARY / ECOSYSTEM REVENUE (the value of the database — OPTIONAL; default OFF in P&L),,,,,,
Revenue stream,Low (R),High (R),Midpoint (R),Attach %,Captured/deal (R),
Homeowners insurance commission,1500,4000,2750,30%,825,
Household contents insurance,500,2000,1250,25%,313,
Conveyancing — no referral fee (LPC); panel advertising is a fixed line above,0,0,0,0%,0,
Moving company referral,500,2000,1250,20%,250,
Fibre / internet installation,500,1500,1000,20%,200,
Security system installation,1000,3000,2000,15%,300,
Utility connection service,250,1000,625,30%,188,
Home warranty / product upsell,500,2500,1500,10%,150,
Compliance certificates (already in core add-ons),500,2000,1250,0%,0,
Solar installation referral,5000,20000,12500,5%,625,
Home improvement / renovation referrals,2000,15000,8500,8%,680,
Storage solutions referral,500,2000,1250,10%,125,
Short-term insurance cross-sell (car/business),1000,5000,3000,10%,300,
Life cover linked to the bond,2000,10000,6000,15%,900,
Estate planning / will services,500,2000,1250,10%,125,
Realistic ADDITIONAL captured per deal,,,,,4980,
If toggled ON: Y5 base revenue uplift (2900 x R4980),,,,,14.4m,
